[2019-10-04 14:29:48.200] [Thread - 32673] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.208] [Thread - 32680] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.208] [Thread - 32680] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.208] [Thread - 32676] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.208] [Thread - 32676] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.208] [Thread - 32677] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.208] [Thread - 32677] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.208] [Thread - 32674] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.208] [Thread - 32674] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.208] [Thread - 32679] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.209] [Thread - 32679] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.209] [Thread - 32675] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.209] [Thread - 32675] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.209] [Thread - 32678] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.209] [Thread - 32678] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.210] [Thread - 32681] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.210] [Thread - 32681] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.210] [Thread - 32682] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.210] [Thread - 32682] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.210] [Thread - 32683] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.210] [Thread - 32683] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.212] [Thread - 32691] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.212] [Thread - 32691] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.212] [Thread - 32687] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.212] [Thread - 32687] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.214] [Thread - 32689] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.214] [Thread - 32689] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.214] [Thread - 32684] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.214] [Thread - 32684] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.215] [Thread - 32688] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.215] [Thread - 32688] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.215] [Thread - 32685] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.216] [Thread - 32685] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.216] [Thread - 32686] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.216] [Thread - 32686] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.219] [Thread - 32692] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.219] [Thread - 32692] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.219] [Thread - 32690] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.219] [Thread - 32690] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.228] [Thread - 32693] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.228] [Thread - 32693] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.236] [Thread - 32701] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.236] [Thread - 32701] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.236] [Thread - 32697] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.236] [Thread - 32697] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.236] [Thread - 32700] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.236] [Thread - 32700] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.236] [Thread - 32696] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.236] [Thread - 32696] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.236] [Thread - 32699] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.236] [Thread - 32699] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.237] [Thread - 32698] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.237] [Thread - 32698] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.237] [Thread - 32694] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.237] [Thread - 32694] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.237] [Thread - 32702] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.237] [Thread - 32702] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.238] [Thread - 32703] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.238] [Thread - 32703] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.238] [Thread - 32695] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.238] [Thread - 32695] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.243] [Thread - 32704] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.243] [Thread - 32704] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.243] [Thread - 32710] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.243] [Thread - 32710] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.244] [Thread - 32714] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.244] [Thread - 32714] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.244] [Thread - 32711] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.244] [Thread - 32711] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.244] [Thread - 32712] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.244] [Thread - 32712] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.244] [Thread - 32713] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.244] [Thread - 32713] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.245] [Thread - 32715] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.245] [Thread - 32715] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.245] [Thread - 32717] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.245] [Thread - 32717] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.245] [Thread - 32716] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.245] [Thread - 32716] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.250] [Thread - 32709] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.250] [Thread - 32709] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.255] [Thread - 32722] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.255] [Thread - 32722] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.255] [Thread - 32719] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.255] [Thread - 32719] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.256] [Thread - 32721] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.256] [Thread - 32721] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.256] [Thread - 32723] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.256] [Thread - 32723] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.256] [Thread - 32708] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.256] [Thread - 32708] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.260] [Thread - 32718] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.260] [Thread - 32718] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.261] [Thread - 32707] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.261] [Thread - 32707] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.261] [Thread - 32706] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.261] [Thread - 32706] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.263] [Thread - 32705] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.263] [Thread - 32705] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.263] [Thread - 32720] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.263] [Thread - 32720] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.268] [Thread - 32628] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.268] [Thread - 32628] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.269] [Thread - 32632] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.269] [Thread - 32632] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.269] [Thread - 32631] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.269] [Thread - 32631] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.269] [Thread - 32629] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.269] [Thread - 32629] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.269] [Thread - 32633] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.269] [Thread - 32633] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.272] [Thread - 32627] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.272] [Thread - 32627] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.272] [Thread - 32630] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.272] [Thread - 32630] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.272] [Thread - 32634] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.272] [Thread - 32634] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.279] [Thread - 32626] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.279] [Thread - 32626] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.280] [Thread - 32635] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.280] [Thread - 32635] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.282] [Thread - 32625] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.282] [Thread - 32625] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.282] [Thread - 32637] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.282] [Thread - 32637] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.282] [Thread - 32636] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.282] [Thread - 32636] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.282] [Thread - 32639] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.282] [Thread - 32639] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.283] [Thread - 32640] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.283] [Thread - 32640] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.284] [Thread - 32638] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.284] [Thread - 32638] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.284] [Thread - 32641] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.284] [Thread - 32641] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.287] [Thread - 32642] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.287] [Thread - 32642] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.288] [Thread - 32643] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.288] [Thread - 32643] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.294] [Thread - 32644] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.294] [Thread - 32644] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.295] [Thread - 32664] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.295] [Thread - 32664] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.296] [Thread - 32645] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.296] [Thread - 32645] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.297] [Thread - 32666] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.297] [Thread - 32666] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.297] [Thread - 32647] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.297] [Thread - 32647] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.297] [Thread - 32646] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.297] [Thread - 32646] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.300] [Thread - 32655] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.300] [Thread - 32655] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.300] [Thread - 32648] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.300] [Thread - 32648] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.300] [Thread - 32653] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.301] [Thread - 32653] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.307] [Thread - 32649] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.307] [Thread - 32649] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.307] [Thread - 32657] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.307] [Thread - 32657] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.319] [Thread - 32650] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.319] [Thread - 32650] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.319] [Thread - 32658] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.319] [Thread - 32658] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.319] [Thread - 32661] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.319] [Thread - 32661] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.320] [Thread - 32651] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.320] [Thread - 32651] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.320] [Thread - 32663] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.320] [Thread - 32663] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.321] [Thread - 32659] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.321] [Thread - 32659] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.321] [Thread - 32652] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.321] [Thread - 32652] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.323] [Thread - 32654] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.323] [Thread - 32654] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.324] [Thread - 32656] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.324] [Thread - 32656] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.324] [Thread - 32660] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.324] [Thread - 32660] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.332] [Thread - 32669] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:48.332] [Thread - 32669] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:48.332] [Thread - 32670] [info] received data len: 12, data: 101 101 W 1
